,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Kalmunai,12,LK,1578256850,77,7.42,81.82,300.44,5.87
1,Ushuaia,75,AR,1578256850,76,-54.81,-68.31,283.15,12.3
2,Barrow,100,AR,1578256850,76,-38.31,-60.23,296.22,1.67
3,Rawson,42,AR,1578256851,60,-43.3,-65.11,291.35,9.9
4,Aklavik,75,CA,1578256851,62,68.22,-135.01,246.15,4.6
5,Yarmouth,90,CA,1578256852,90,43.84,-66.12,273.15,8.2
6,Vaini,0,IN,1578256852,79,15.34,74.49,292.1,3.08
7,Bako,7,BF,1578256852,21,12.29,-0.73,294.15,3.78
8,Odienne,26,CI,1578256853,19,9.51,-7.57,294.14,1.43
9,Hambantota,13,LK,1578256853,80,6.12,81.12,299.56,9.31
10,Port Elizabeth,90,US,1578256853,41,39.31,-74.98,279.26,10.3
11,Severo-Kurilsk,100,RU,1578256854,93,50.68,156.12,266.12,6.64
12,Teguise,20,ES,1578256854,63,29.06,-13.56,291.15,3.1
13,Kudahuvadhoo,96,MV,1578256855,79,2.67,72.89,301.04,6.17
14,Bluff,0,AU,1578256855,77,-23.58,149.07,296.7,4.63
15,Busselton,0,AU,1578256855,43,-33.64,115.35,287.59,4.18
16,Channel-Port aux Basques,100,CA,1578256856,82,47.57,-59.14,272.34,9.6
17,Buala,69,SB,1578256856,81,-8.15,159.59,301.1,4.02
18,Punta Arenas,40,CL,1578256857,54,-53.16,-70.91,286.15,13.4
19,Masterton,0,NZ,1578256857,57,-40.95,175.66,293.15,1.34
20,Hamilton,75,CA,1578256709,80,43.26,-79.87,275.93,5.1
21,Takoradi,5,GH,1578256858,58,4.89,-1.75,299.68,2.87
22,Fortuna,40,US,1578256858,87,40.6,-124.16,285.93,2.6
23,Chabahar,100,IR,1578256859,78,25.29,60.65,295.38,5.73
24,Cape Town,75,ZA,1578256616,82,-33.93,18.42,293.15,4.1
25,Beyneu,76,KZ,1578256859,75,45.32,55.19,270.83,2.13
26,Soyo,81,AO,1578256860,79,-6.13,12.37,299.82,1.88
27,Mar del Plata,100,AR,1578256860,33,-46.43,-67.52,294.02,2.83
28,Ancud,75,CL,1578256861,58,-41.87,-73.83,288.15,5.7
29,Jamestown,89,AU,1578256861,87,-33.21,138.6,286.62,2.65
30,Thessalon,90,CA,1578256861,92,46.26,-83.55,272.15,4.1
31,Teya,75,MX,1578256862,50,21.05,-89.07,299.26,2.1
32,Auki,64,NG,1578256862,27,12.18,6.51,293.33,5.58
33,Saskylakh,0,RU,1578256862,94,71.97,114.09,244.7,5.85
34,Tisul,100,RU,1578256863,91,55.76,88.31,267.64,4.14
35,Kaitangata,80,NZ,1578256863,73,-46.28,169.85,282.59,10.28
36,The Valley,40,AI,1578256666,69,18.22,-63.06,302.15,4.6
37,Dhidhdhoo,11,MV,1578256864,81,6.88,73.1,300.59,4.93
38,Torbay,90,CA,1578256864,92,47.66,-52.73,272.59,9.8
39,Itarema,67,BR,1578256865,76,-2.92,-39.92,299.77,3.94
40,Krasnyy Chikoy,49,RU,1578256866,99,50.36,108.75,252.56,0.97
41,Castro,75,CL,1578256866,58,-42.48,-73.76,288.15,5.7
42,Hermanus,100,ZA,1578256866,89,-34.42,19.24,290.93,4.93
43,Novoseleznevo,100,RU,1578256867,95,55.68,69.21,262.2,4.92
44,Port Alfred,50,ZA,1578256867,91,-33.59,26.89,292.59,3.15
45,Ribeira Grande,40,PT,1578256867,88,38.52,-28.7,291.15,6.2
46,Mataura,87,NZ,1578256868,81,-46.19,168.86,283.71,10.73
47,Northport,1,US,1578256868,41,33.23,-87.58,287.59,3.6
48,Iralaya,45,HN,1578256868,77,15.0,-83.23,300.44,8.15
49,Cherskiy,5,RU,1578256869,61,68.75,161.3,251.09,2.39
50,Meiganga,0,CM,1578256869,32,6.52,14.29,291.84,2.05
51,Tasiilaq,100,GL,1578256870,93,65.61,-37.64,268.74,13.61
52,Clyde River,20,CA,1578256870,58,70.47,-68.59,234.15,3.1
53,Beruwala,6,LK,1578256871,90,6.48,79.98,297.87,1.44
54,Cuiluan,98,CN,1578256872,93,47.72,128.65,257.56,0.86
55,Leningradskiy,0,RU,1578256872,51,69.38,178.42,249.26,0.82
56,Rincon,86,PA,1578256872,32,8.46,-82.28,307.15,10.3
57,Rikitea,67,PF,1578256872,78,-23.12,-134.97,297.61,6.89
58,Dikson,95,RU,1578256873,91,73.51,80.55,265.13,9.23
59,Atambua,100,ID,1578256873,84,-9.11,124.89,297.49,1.05
60,Katobu,100,ID,1578256873,92,-4.94,122.53,297.57,1.52
61,Westport,40,US,1578256623,38,41.14,-73.36,279.26,10.3
62,Bereda,1,ES,1578256874,100,43.27,-7.54,279.26,2.6
63,Saiha,9,IN,1578256874,99,22.49,92.98,283.87,1.0
64,Mahebourg,75,MU,1578256875,100,-20.41,57.7,296.15,4.1
